id,start_date,mean,num_list_users,nsfw,media_type,num_episodes,rating,title,prequel,related,genre1,genre2,genre3,genre4,genre5,picture,main_genre,main_anime,best_anime
1,1998-04-03,8.75,1876957,white,tv,26,r,Cowboy Bebop,False,5 4037 17205,Action,Adult Cast,Award Winning,Sci-Fi,Space,https://cdn.myanimelist.net/images/anime/4/19644l.webp,Action,1,1
199,2001-07-20,8.77,1865048,white,movie,1,pg,Spirited Away,False,,Adventure,Award Winning,Mythology,Supernatural,,https://cdn.myanimelist.net/images/anime/6/79597l.webp,Other,199,199
30,1995-10-04,8.35,1829295,white,tv,26,pg_13,Neon Genesis Evangelion,False,31 32 2759 3784 3785 3786 4130 23023 28149 31115 41030 43745 43751 47307,Action,Avant Garde,Award Winning,Drama,Mecha,https://cdn.myanimelist.net/images/anime/1314/108941l.webp,Action,30,3786
33352,2018-01-11,8.68,1794151,white,tv,13,pg_13,Violet Evergarden,False,37095 37987 39741 42166 53672,Drama,Fantasy,,,,https://cdn.myanimelist.net/images/anime/1795/95088l.jpg,Drama,33352,37987
2904,2008-04-06,8.91,1790622,white,tv,25,r,Code Geass: Lelouch of the Rebellion R2,True,1575 5163 6768 8728 9591 33156 34439 34440,Action,Award Winning,Drama,Mecha,Military,https://cdn.myanimelist.net/images/anime/1088/135089l.jpg,Action,1575,2904
27899,2015-01-09,7.02,1780308,white,tv,12,r,Tokyo Ghoul √A,True,22319 36511,Action,Fantasy,Gore,Horror,Psychological,https://cdn.myanimelist.net/images/anime/1889/123307l.webp,Action,22319,22319
28223,2015-01-10,8.14,1779592,white,tv,12,r,Death Parade,False,14353,Adult Cast,Drama,High Stakes Game,Psychological,Supernatural,https://cdn.myanimelist.net/images/anime/5/71553l.jpg,Drama,28223,28223
38691,2019-07-05,8.27,1750140,white,tv,24,pg_13,Dr. Stone,False,40852 43349 43555,Adventure,Comedy,Sci-Fi,Shounen,Survival,https://cdn.myanimelist.net/images/anime/1613/102576l.jpg,Comedy,38691,38691
37999,2019-01-12,8.41,1749492,white,tv,12,pg_13,Kaguya-sama: Love is War,False,40591 44270,Comedy,Psychological,Romantic Subtext,School,Seinen,https://cdn.myanimelist.net/images/anime/1295/106551l.webp,Comedy,37999,43608
37450,2018-10-04,8.23,1748602,white,tv,13,pg_13,Rascal Does Not Dream of Bunny Girl Senpai,False,38329,Drama,Romance,School,Supernatural,,https://cdn.myanimelist.net/images/anime/1301/93586l.jpg,Drama,37450,38329
6702,2009-10-12,7.57,1744910,white,tv,175,pg_13,Fairy Tail,False,246 9982 12049 12121 17535 18393 22043 39721,Action,Adventure,Fantasy,Shounen,,https://cdn.myanimelist.net/images/anime/5/18179l.jpg,Action,6702,22043
38408,2019-10-12,7.88,1736155,white,tv,25,pg_13,My Hero Academia Season 4,True,36456 39565 41587,Action,School,Shounen,Super Power,,https://cdn.myanimelist.net/images/anime/1412/107914l.jpg,Action,31964,49918
18679,2013-10-04,8.03,1730793,white,tv,24,pg_13,Kill la Kill,False,21659 32681,Action,Comedy,Ecchi,Fantasy,School,https://cdn.myanimelist.net/images/anime/1464/111943l.jpg,Action,18679,18679
34134,2019-04-10,7.52,1703773,white,tv,12,r,One Punch Man Season 2,True,30276 39652 39705 52807,Action,Adult Cast,Comedy,Parody,Seinen,https://cdn.myanimelist.net/images/anime/1247/122044l.jpg,Action,30276,30276
